Match,Round,Agent_Names,Source,Action_Type,Action_Description,Player_Finished,Player_Hands,Board_Before,Board_After,Possible_Actions,Current_Roles,Match_Score,Game_Score,Game_Performance_Score
1,3,,Random0,DISCARD,pass,0.0,[ 2.  4.  4.  5.  6.  7.  8.  8.  8.  9. 10. 10. 10. 11. 11. 11. 11.],[11. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.],[11. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,3,,Random1,DISCARD,C9;Q5;J0,0.0,[ 2.  3.  3.  4.  4.  6.  7.  7.  8.  9. 10.  0.  0.  0.  0.  0.  0.],[11. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.],[9. 9. 9. 9. 9. 0. 0. 0. 0. 0. 0.],"['C9;Q5;J0', 'C9;Q6;J0', 'pass']",,,,
1,3,,Random2,DISCARD,pass,0.0,[ 5.  7.  7.  8.  8.  8.  9. 10. 10. 10. 10. 11.  0.  0.  0.  0.  0.],[9. 9. 9. 9. 9. 0. 0. 0. 0. 0. 0.],[9. 9. 9. 9. 9. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,3,,DQL_ATK,DISCARD,pass,0.0,[ 5.  5.  5.  6.  6.  7.  7.  8.  9. 10. 10.  0.  0.  0.  0.  0.  0.],[9. 9. 9. 9. 9. 0. 0. 0. 0. 0. 0.],[9. 9. 9. 9. 9. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,Random1,DECLARE_PIZZA,,,,,,,,,,
1,4,,Random1,DISCARD,C3;Q2;J0,0.0,[ 2.  4.  4.  6.  7.  7.  8.  9. 10.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C2;Q1;J0', 'C3;Q1;J0', 'C3;Q2;J0', 'C4;Q1;J0', 'C4;Q2;J0', 'C6;Q1;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'C8;Q1;J0', 'C9;Q1;J0', 'C10;Q1;J0', 'pass']",,,,
1,4,,Random2,DISCARD,pass,0.0,[ 5.  7.  7.  8.  8.  8.  9. 10. 10. 10. 10. 11.  0.  0.  0.  0.  0.],[3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,4,,DQL_ATK,DISCARD,pass,0.0,[ 5.  5.  5.  6.  6.  7.  7.  8.  9. 10. 10.  0.  0.  0.  0.  0.  0.],[3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,4,,Random0,DISCARD,pass,0.0,[ 2.  4.  4.  5.  6.  7.  8.  8.  8.  9. 10. 10. 10. 11. 11. 11. 11.],[3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,Random1,DECLARE_PIZZA,,,,,,,,,,
1,5,,Random1,DISCARD,C2;Q1;J0,0.0,[ 4.  4.  6.  7.  7.  8.  9. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C2;Q1;J0', 'C4;Q1;J0', 'C4;Q2;J0', 'C6;Q1;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'C8;Q1;J0', 'C9;Q1;J0', 'C10;Q1;J0', 'pass']",,,,
1,5,,Random2,DISCARD,pass,0.0,[ 5.  7.  7.  8.  8.  8.  9. 10. 10. 10. 10. 11.  0.  0.  0.  0.  0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,5,,DQL_ATK,DISCARD,pass,0.0,[ 5.  5.  5.  6.  6.  7.  7.  8.  9. 10. 10.  0.  0.  0.  0.  0.  0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,5,,Random0,DISCARD,pass,0.0,[ 2.  4.  4.  5.  6.  7.  8.  8.  8.  9. 10. 10. 10. 11. 11. 11. 11.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,Random1,DECLARE_PIZZA,,,,,,,,,,
1,6,,Random1,DISCARD,C6;Q1;J0,0.0,[ 4.  4.  7.  7.  8.  9. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C4;Q1;J0', 'C4;Q2;J0', 'C6;Q1;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'C8;Q1;J0', 'C9;Q1;J0', 'C10;Q1;J0', 'pass']",,,,
1,6,,Random2,DISCARD,C5;Q1;J0,0.0,[ 7.  7.  8.  8.  8.  9. 10. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C5;Q1;J0', 'pass']",,,,
1,6,,DQL_ATK,DISCARD,pass,0.0,[ 5.  5.  5.  6.  6.  7.  7.  8.  9. 10. 10.  0.  0.  0.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,6,,Random0,DISCARD,C2;Q1;J0,0.0,[ 4.  4.  5.  6.  7.  8.  8.  8.  9. 10. 10. 10. 11. 11. 11. 11.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C2;Q1;J0', 'C4;Q1;J0', 'C4;Q2;J0', 'pass']",,,,
1,6,,Random1,DISCARD,pass,0.0,[ 4.  4.  7.  7.  8.  9. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,6,,Random2,DISCARD,pass,0.0,[ 7.  7.  8.  8.  8.  9. 10. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,Random0,DECLARE_PIZZA,,,,,,,,,,
1,7,,Random0,DISCARD,C8;Q2;J0,0.0,[ 4.  4.  5.  6.  7.  8.  9. 10. 10. 10. 11. 11. 11. 11.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 8. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C4;Q1;J0', 'C4;Q2;J0', 'C5;Q1;J0', 'C6;Q1;J0', 'C7;Q1;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'C9;Q1;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'C11;Q4;J0', 'pass']",,,,
1,7,,Random1,DISCARD,C7;Q2;J0,0.0,[ 4.  4.  8.  9. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 8. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C4;Q2;J0', 'C7;Q2;J0', 'pass']",,,,
